                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.0275,                0.38082,                0.80095,                0.98169,                 0.9704,                0.98743,                0.72708,                 1.1017,                0.33162,                0.76225,              0.0011037,              0.0011037,              0.0011037
                     37,                 1.0311,                0.38024,                0.80304,                0.98353,                0.96233,                0.98418,                0.72152,                 1.1174,                0.34847,                0.76456,              0.0010872,              0.0010872,              0.0010872
                     38,                 1.0139,                 0.3756,                0.79835,                0.97997,                0.96629,                0.98582,                0.72296,                 1.1016,                 0.3444,                0.76447,              0.0010706,              0.0010706,              0.0010706
                     39,                 1.0148,                0.37617,                0.80044,                0.97145,                0.97088,                0.98583,                0.72369,                 1.1283,                0.34519,                0.77057,               0.001054,               0.001054,               0.001054
                     40,                 1.0015,                0.37126,                0.79706,                 0.9847,                0.97745,                0.98872,                0.71564,                 1.1367,                 0.3459,                0.77514,              0.0010375,              0.0010375,              0.0010375
                     41,                0.99853,                0.36725,                0.79866,                0.97882,                0.96405,                 0.9849,                0.69219,                  1.204,                0.37134,                0.79439,              0.0010209,              0.0010209,              0.0010209
                     42,                 1.0058,                0.36833,                0.79701,                0.98787,                0.97236,                0.98897,                0.73457,                 1.0899,                 0.3313,                0.76475,              0.0010043,              0.0010043,              0.0010043
                     43,                0.98127,                0.36141,                0.79144,                0.98067,                0.96676,                0.98784,                0.73566,                 1.1024,                0.33411,                0.76476,             0.00098775,             0.00098775,             0.00098775
                     44,                0.98502,                0.36143,                0.79233,                0.98309,                0.97141,                0.98858,                0.72024,                  1.122,                0.34099,                0.77494,             0.00097119,             0.00097119,             0.00097119
                     45,                0.97833,                0.35663,                 0.7908,                0.97987,                0.97513,                0.98666,                0.72651,                 1.1137,                 0.3268,                0.76892,             0.00095462,             0.00095462,             0.00095462
                     46,                0.97285,                0.35581,                0.78648,                0.98093,                0.97166,                 0.9861,                0.73287,                 1.0936,                0.32945,                0.76544,             0.00093805,             0.00093805,             0.00093805
                     47,                0.96103,                0.34801,                0.78064,                 0.9824,                0.97741,                0.98721,                0.72073,                 1.1255,                 0.3373,                0.77441,             0.00092149,             0.00092149,             0.00092149
                     48,                0.97021,                 0.3536,                0.78695,                0.98067,                0.97199,                0.98732,                0.72103,                   1.12,                 0.3343,                0.77253,             0.00090492,             0.00090492,             0.00090492
                     49,                 0.9726,                0.35179,                0.78759,                0.98461,                0.97325,                0.98665,                0.70818,                 1.1612,                0.33883,                0.77785,             0.00088835,             0.00088835,             0.00088835
                     50,                0.94875,                0.34513,                0.77971,                0.98538,                0.96939,                0.98738,                0.73112,                  1.093,                0.32819,                0.76544,             0.00087178,             0.00087178,             0.00087178
                     51,                0.95725,                0.34489,                 0.7828,                0.98454,                 0.9779,                0.98887,                0.71979,                 1.1272,                0.33209,                0.77222,             0.00085522,             0.00085522,             0.00085522
                     52,                0.94861,                0.34603,                0.78098,                0.97637,                0.97846,                0.99033,                0.71039,                  1.153,                0.33788,                0.77087,             0.00083865,             0.00083865,             0.00083865
                     53,                0.94545,                0.34449,                0.78072,                0.98005,                0.97224,                0.98939,                0.73318,                 1.1094,                0.32328,                0.76551,             0.00082208,             0.00082208,             0.00082208
                     54,                0.92122,                0.33501,                0.77649,                 0.9837,                0.97623,                0.98759,                 0.7274,                 1.0914,                0.32172,                0.76234,             0.00080552,             0.00080552,             0.00080552
                     55,                0.92772,                0.33727,                0.77607,                0.98515,                0.97593,                0.98887,                0.71952,                 1.1017,                0.32344,                0.76357,             0.00078895,             0.00078895,             0.00078895
                     56,                0.91966,                0.33909,                0.77418,                0.98427,                0.97303,                0.98732,                0.73255,                  1.097,                0.32003,                0.76311,             0.00077238,             0.00077238,             0.00077238
