fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,mosaic,mixup,copy_paste
0.72149,0.00703,0.00635,0.7,0.00043,1.21983,0.60348,9.00815,0.27615,1.06363,0.01173,0.72116,0.23926,0.0,0.10132,0.26496,0.0,0.0,0.0,0.32945,0.91332,0.0,0.0
0.72148,0.00639,0.00585,0.7,0.00042,1.22806,0.66822,9.25617,0.30861,1.06284,0.0112,0.85336,0.24278,0.0,0.09133,0.26726,0.0,0.0,0.0,0.33513,1.0,0.0,0.0
0.71461,0.00665,0.00646,0.79677,0.00055,1.86741,0.56384,8.79052,0.35718,1.18362,0.01393,0.76661,0.34433,0.0,0.09306,0.29734,0.0,0.0,0.0,0.35526,0.90629,0.0,0.0
0.73,0.00816,0.00624,0.81363,0.00055,1.58633,0.57477,7.76657,0.35948,1.18532,0.01327,0.72396,0.31134,0.0,0.098,0.29729,0.0,0.0,0.0,0.29242,1.0,0.0,0.0
0.72587,0.0071,0.00634,0.81363,0.0005,1.8395,0.72389,8.42661,0.35144,1.18532,0.01444,0.37651,0.30735,0.0,0.06751,0.33253,0.0,0.0,0.0,0.36653,0.98987,0.0,0.0
0.73439,0.00688,0.00696,0.82796,0.00055,1.82188,0.5689,8.42661,0.33857,1.18532,0.01339,0.85157,0.34195,0.0,0.09318,0.34814,0.0,0.0,0.0,0.35641,0.94271,0.0,0.0
0.72921,0.00739,0.00661,0.82796,0.00049,1.80128,0.59245,7.59488,0.33857,1.32973,0.01339,0.8581,0.31964,0.0,0.08856,0.3189,0.0,0.0,0.0,0.3528,0.80185,0.0,0.0
0.72662,0.00634,0.00732,0.8463,0.00055,1.74185,0.64938,8.37957,0.37625,1.11617,0.01339,0.82531,0.34781,0.0,0.08938,0.33305,0.0,0.0,0.0,0.37773,0.97866,0.0,0.0
0.72295,0.00688,0.00696,0.83094,0.00055,1.83867,0.57048,8.2688,0.3388,1.16363,0.01339,0.86046,0.34195,0.0,0.0933,0.3495,0.0,0.0,0.0,0.35551,0.96536,0.0,0.0
0.72673,0.00743,0.00713,0.86549,0.00065,1.64805,0.5689,9.48593,0.32316,1.2555,0.01232,0.88345,0.33181,0.0,0.08755,0.35165,0.0,0.0,0.0,0.38162,0.93428,0.0,0.0
0.71749,0.00658,0.00696,0.82361,0.00055,1.93304,0.56225,8.03516,0.33935,1.21378,0.01473,0.80294,0.36809,0.0,0.09763,0.34814,0.0,0.0,0.0,0.34256,0.94271,0.0,0.0
0.72992,0.00606,0.00634,0.81363,0.00054,2.08626,0.49875,8.22468,0.31313,1.03798,0.01419,0.84447,0.34542,0.0,0.0827,0.26548,0.0,0.0,0.0,0.36973,0.94271,0.0,0.0
0.71644,0.00568,0.00652,0.81363,0.00055,1.70159,0.68743,7.12619,0.34889,1.1281,0.01553,0.72227,0.29051,0.0,0.08805,0.33214,0.0,0.0,0.0,0.4137,1.0,0.0,0.0
0.7388,0.00622,0.00618,0.80774,0.00056,1.8395,0.52433,8.45512,0.37275,1.18532,0.01438,0.75444,0.37201,0.0,0.09335,0.29729,0.0,0.0,0.0,0.38751,0.92436,0.0,0.0
0.72451,0.00527,0.00622,0.8047,0.0006,1.77074,0.52433,8.45512,0.37275,1.23804,0.01438,0.85534,0.33008,0.0,0.0949,0.27694,0.0,0.0,0.0,0.36746,0.90128,0.0,0.0
0.73373,0.00609,0.00618,0.80151,0.00055,1.87647,0.50442,8.77589,0.36489,1.15794,0.01438,0.74061,0.37314,0.0,0.09167,0.29584,0.0,0.0,0.0,0.39269,0.90764,0.0,0.0
0.73183,0.00617,0.00677,0.80174,0.00053,1.83594,0.53004,8.45512,0.3529,1.3693,0.0151,0.75444,0.3621,0.0,0.09493,0.25837,0.0,0.0,0.0,0.42156,0.92727,0.0,0.0
0.72513,0.00758,0.00828,0.86147,0.00056,1.5586,0.45337,9.76408,0.46976,1.31542,0.01254,0.62518,0.33264,0.0,0.12908,0.30307,0.0,0.0,0.0,0.39277,1.0,0.0,0.0
